vorname,anzahl
Laetizia,1
Laila,3
Laimis,1
Lais,1
Laja,1
Lajos,1
Lalla,1
Lamija,1
Lamila-Aaliyah,1
Lamin,1
Lamine,1
Lamis,2
Lamita,1
Lana,6
Laneya,1
Lara,15
Lara-Marie,1
Larin,1
Larissa,1
Lars,6
Lasse,10
Latif,1
Laura,23
Laurens,2
Laurentia,1
Laurenz,1
Laurin,3
Lav,1
Lavin,1
Lavinia,2
Lawand,1
Lawin,1
Lawrence,1
Layaen,1
Layal,1
Layan,7
Layla,1
Layvin,1
Lea,43
Lea-Marie,1
Lea-Sophie,1
Leah,3
Leam,1
Leana,3
Leander,6
Leandra,2
Leandro,2
Leannan,1
Leano,2
Leano-Nael,1
Ledri,1
Lee,1
Leena,1
Leevi,1
Leia,1
Leif,3
Lejla,2
Lejs-Leon,1
LekÃ«,1
Lelia,1
Lena,29
Lena-Marie,1
Lene,4
Leni,31
Lenia,1
Lenja,1
Lenn,2
Lenn-Louis,1
Lennard,11
Lennart,3
Lenni,1
Lennox,3
Lenny,4
Lensih,1
Leny,1
Leo,30
Leola,1
Leon,47
Leona,3
Leonard,34
Leonardo,7
Leonardo-Ignazio,1
Leonas,2
Leonel,1
Leonhard,5
Leonia,1
Leonid,1
Leonidas,1
Leonie,26
Leonik,1
Leonora,3
Leonore,3
Leontine,1
Leony,2
Leopold,7
Lesley,1
Leticia,1
Lev,1
Levi,21
Levin,5
Levin-Sascha,1
Levy,1
Lewis,2
Leyan,1
Leyla,3
Leyla-Elaine,1
Leyna,1
Li,1
Lia,22
Lia-Ilana,1
Lia-Li,1
Liah,4
Liam,32
Liam-Noel,1
Lian,12
Liana,8
Liandro,1
Lianna,1
Liara,3
Liarra,1
Lias,5
Liberty,1
Lidia,1
Lien,1
Lieselotte,3
Lija,1
Lilas,1
Lilia,3
Lilian,2
Liliana,3
Lilianne,1
Lilit,1
Lilith,3
Lilja,3
Liljana,1
Lill,1
Lilli,9
Lillian,2
Lillie,1
Lillien,1
Lilly,15
Lillyan,1
Lily,5
Lilya,1
Lilyan,1
Lilyanov,1
Lin,1
Lina,37
Linda,9
Line,2
Linea,1
Linn,3
Linnea,3
Lino,3
Linor,1
Linus,17
Lio,10
Lion,2
Lionel,7
Lirael,1
Lirton,1
Lisa,11
Lisann,1
Lisanne,1
Lisjan,1
Liv,5
Liva,1
Livia,6
Liwia,1
Liya,10
Liyah,2
Liyam,1
Liyana,5
Liz,1
Lizzy,1
Loar,1
Loena,1
Logan,1
Loki,1
Lola,1
London,1
Loni,1
Lore,2
Lorein,1
Lorena,4
Lorent,1
Lorenz,4
Lorian,1
Lorik,1
Lorin,4
Lorina,1
Lothar,1
Lotta,16
Lotte,7
Lottie,1
Lou,9
Louan,1
Louana,2
Louie,3
Louis,21
Louisa,16
Louisan,1
Louise,8
Lowe,1
LoÃ¯c,1
Lua,1
Luam,1
Luan,8
Luan-Miguel,1
Luana,3
Luana-Sophie,1
Luar,1
Luc,1
Luca,32
Lucas,4
Lucia,6
Lucian,1
Luciano,2
Luciano-Luano,1
Lucie,2
Lucil,1
Lucio,1
Lucius,1
Lucy,5
Ludovika,1
Ludwig,16
Luigi,1
Luina,1
Luis,31
Luisa,29
Luisayana,1
Luise,26
Luk,1
Luka,8
Lukas,31
Luke,7
Lukman,1
Lum,1
Lumi,2
Luna,7
Lunis,1
Lutz,2
Luz,2
Luzia,4
Lya,1
Lyan,1
Lyana,1
Lydia,3
Lynn,5
Lynna,1
Lyon,1
Lyra,1
Lysander,1
LÃª,2
LÃ¬o,1
LÄ«na,1
Ma,2
Macie,1
Madelaine,1
Madeleine,1
Madison,2
Madita,3
Maditha,1
Madleen,2
Madlen,1
Madline,1
